GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
25500172,1610612758,Royals,ROC,Rochester,0,46,27.0,1.703,,,,27,40.0,0.675,,,,,,,,32.0,119,
25500172,1610612738,Celtics,BOS,Boston,0,44,,,,,,38,50.0,0.76,,,,13.0,,,,29.0,126,
25500174,1610612737,Hawks,STL,St. Louis,230,34,82.0,0.414,,,,25,34.0,0.734,,,,26.0,,,,28.0,93,
25500174,1610612755,Nationals,SYR,Syracuse,240,27,87.0,0.309,,,,31,44.0,0.704,,,,30.0,,,,26.0,85,
25500173,1610612752,Knicks,NYK,New York,0,37,,,,,,15,21.0,0.713,,,,,,,,24.0,89,
25500173,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,34,,,,,,24,35.0,0.686,,,,,,,,16.0,92,
25500175,1610612747,Lakers,MNL,Minneapolis,0,30,79.0,0.38,,,,25,32.0,0.781,,,,19.0,,,,22.0,85,
25500175,1610612744,Warriors,PHW,Philadelphia,0,44,96.0,0.458,,,,20,31.0,0.645,,,,31.0,,,,22.0,108,
25500179,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,42,,,,,,15,23.0,0.652,,,,36.0,,,,22.0,99,
25500179,1610612744,Warriors,PHW,Philadelphia,0,30,,,,,,25,34.0,0.734,,,,24.0,,,,16.0,85,
25500177,1610612738,Celtics,BOS,Boston,240,40,110.0,0.363,,,,32,37.0,0.864,,,,22.0,,,,22.0,112,
25500177,1610612758,Royals,ROC,Rochester,240,41,115.0,0.356,,,,21,29.0,0.723,,,,25.0,,,,27.0,103,
25500176,1610612747,Lakers,MNL,Minneapolis,0,39,,,,,,29,40.0,0.724,,,,,,,,27.0,107,
25500176,1610612737,Hawks,STL,St. Louis,0,42,,,,,,30,37.0,0.811,,,,,,,,28.0,114,
25500178,1610612755,Nationals,SYR,Syracuse,265,32,101.0,0.317,,,,31,44.0,0.704,,,,25.0,,,,34.0,95,
25500178,1610612752,Knicks,NYK,New York,265,31,84.0,0.368,,,,37,48.0,0.771,,,,23.0,,,,30.0,99,
25500181,1610612737,Hawks,STL,St. Louis,0,42,98.0,0.428,,,,30,41.0,0.731,,,,,,,,36.0,114,
25500181,1610612738,Celtics,BOS,Boston,0,26,88.0,0.294,,,,39,60.0,0.65,,,,,,,,24.0,91,
25500180,1610612752,Knicks,NYK,New York,0,36,82.0,0.439,,,,33,38.0,0.867,,,,24.0,,,,27.0,105,
25500180,1610612744,Warriors,PHW,Philadelphia,0,38,84.0,0.452,,,,44,57.0,0.772,,,,22.0,,,,29.0,120,
25500182,1610612747,Lakers,MNL,Minneapolis,0,33,98.0,0.337,,,,26,31.0,0.838,,,,,,,,25.0,92,
25500182,1610612758,Royals,ROC,Rochester,0,29,97.0,0.298,,,,28,36.0,0.778,,,,,,,,22.0,86,
25500185,1610612765,Pistons,FTW,Ft. Wayne Zollner,0,32,100.0,0.32,,,,26,36.0,0.721,,,,,,,,26.0,90,
25500185,1610612737,Hawks,STL,St. Louis,0,36,86.0,0.418,,,,26,35.0,0.742,,,,,,,,25.0,98,
25500183,1610612747,Lakers,MNL,Minneapolis,0,37,,,,,,33,44.0,0.75,,,,,,,,34.0,107,
25500183,1610612738,Celtics,BOS,Boston,0,32,,,,,,42,51.0,0.823,,,,,,,,30.0,106,
